code,name_ko,description
MOVE_IN_REPORT,전입/주민등록,"전입신고, 세대주, 주민등록 관련 민원"
CERTIFICATE_ISSUE,증명서 발급,"등본, 초본, 가족관계증명서 등 발급 안내"
BULKY_WASTE,대형폐기물,"대형폐기물 신고, 수수료, 배출 절차"
LOCAL_TAX,지방세,"자동차세, 재산세, 납부 방법, 담당 부서 안내"
WELFARE,복지,"복지 상담, 기초생활, 긴급복지, 담당 부서 안내"
YOUTH_JOB,청년/일자리,"청년 지원, 일자리, 창업 지원"
CHILDCARE_EDU,보육/교육,"어린이집, 교육지원, 돌봄"
BUSINESS_PERMIT,인허가,"영업신고, 인허가, 업종별 준비"
TRAFFIC_PARKING,교통/주차,"불법주정차, 주차 민원, 교통 신고"
LIFE_ENV,생활/환경,"반려동물, 소음, 환경 생활 민원"
STATUS_LOOKUP,상태 조회,접수번호 기반 진행 상태 조회
OFFICE_LOOKUP,기관 찾기,"주민센터, 담당 부서, 연락처 안내"
