kb_id,intent,title,question_examples,answer_summary,procedure_steps,required_documents,fee,processing_time,department,source_title,source_url,last_updated,keywords
KB-001,MOVE_IN_REPORT,전입신고 안내,이사했는데 전입신고 어떻게 해요?|전입신고 서류 뭐 필요해요?,전입신고는 이사 후 새 주소를 등록하는 민원입니다.,새 주소 확인 > 서류 준비 > 온라인 또는 방문 신청 > 처리 결과 확인,신분증;전입신고서;상황별 추가 서류,무료 또는 상황별 확인,즉시 또는 기관 확인 필요,읍면동 주민센터,전입신고 안내 FAQ,,2026-07-08,이사;전입;전입신고;주민등록;세대주
KB-002,CERTIFICATE_ISSUE,주민등록등본 발급 안내,등본 어디서 발급해요?|주민등록등본 인터넷 발급 되나요?,"주민등록등본은 온라인, 무인민원발급기, 주민센터에서 발급할 수 있습니다.",발급 방법 선택 > 본인 확인 > 발급 신청 > 출력 또는 수령,본인확인 수단;신분증,온라인 무료 또는 기관 기준 확인,즉시,읍면동 주민센터,증명서 발급 안내 FAQ,,2026-07-08,등본;초본;증명서;무인발급기;정부24
KB-003,BULKY_WASTE,대형폐기물 배출 신고 안내,침대 버리려면 어떻게 해요?|대형폐기물 스티커 어디서 사요?,대형폐기물은 배출 전 신고 후 수수료를 납부하고 지정 장소에 배출해야 합니다.,품목 확인 > 배출 신고 > 수수료 납부 > 신고번호 확인 > 지정 장소 배출,배출 품목;주소;배출 예정일;연락처,품목별 상이,신고 후 지정일 배출,자원순환 담당 부서,대형폐기물 배출 안내 FAQ,,2026-07-08,대형폐기물;침대;소파;스티커;수수료;폐가전
KB-004,LOCAL_TAX,지방세 납부 안내,자동차세 어디서 납부해요?|지방세 문의 어디로 해요?,지방세는 온라인 납부 또는 담당 세정 부서를 통해 확인할 수 있습니다.,세목 확인 > 납부 채널 선택 > 납부 > 영수증 확인,고지서;본인확인 정보,세목별 상이,즉시 또는 기관 확인,세정과,지방세 납부 안내 FAQ,,2026-07-08,자동차세;지방세;납부;세정과;위택스
KB-005,WELFARE,복지 상담 안내,복지 지원 받고 싶어요|기초생활 지원 문의하고 싶어요,복지 지원은 가구 상황과 소득·재산에 따라 달라질 수 있어 일반 안내 후 담당 부서 상담이 필요합니다.,상담 분야 확인 > 기본 조건 확인 > 필요 서류 준비 > 복지 담당 부서 상담,신분증;가구 상황 확인 자료;소득 관련 자료,무료,상담 후 확인,복지정책과 또는 주민센터 복지 담당,복지 상담 안내 FAQ,,2026-07-08,복지;기초생활;긴급복지;상담;지원금
KB-006,BUSINESS_PERMIT,음식점 영업신고 준비 안내,가게 열려면 뭐부터 해야 해요?|음식점 영업신고 서류 알려줘,음식점 영업신고는 업종과 장소 조건에 따라 필요한 서류와 절차가 달라질 수 있습니다.,업종 확인 > 장소 요건 확인 > 서류 준비 > 담당 부서 신고 > 결과 확인,신분증;영업신고서;위생교육 수료증 등,업종별 상이,기관 확인 필요,인허가 담당 부서,영업신고 안내 FAQ,,2026-07-08,영업신고;음식점;인허가;창업;위생
KB-007,TRAFFIC_PARKING,불법주정차 신고 안내,불법주정차 신고 어디서 해요?|주차 민원 넣고 싶어요,불법주정차 신고는 관련 앱 또는 담당 교통 부서를 통해 접수할 수 있습니다.,위치 확인 > 사진/시간 정보 확인 > 신고 채널 선택 > 접수,위치;사진;발생시간,무료,접수 후 검토,교통과,교통 민원 안내 FAQ,,2026-07-08,주차;불법주정차;교통;신고
KB-008,LIFE_ENV,생활환경 민원 안내,공사 소음 신고 어디서 해요?|소음 민원 넣고 싶어요,생활환경 민원은 발생 장소와 유형에 따라 담당 부서로 연결됩니다.,민원 유형 확인 > 발생 위치 확인 > 담당 부서 연결 > 접수 안내,발생 위치;발생 시간;상황 설명,무료,접수 후 검토,환경 담당 부서,생활환경 민원 안내 FAQ,,2026-07-08,소음;환경;공사;생활민원
KB-009,YOUTH_JOB,청년 지원 상담 안내,청년 지원금 있나요?|청년 월세 지원 문의해요,청년 지원은 공고 기간과 자격 조건에 따라 달라지므로 최신 공고 확인과 담당 부서 상담이 필요합니다.,지원 분야 확인 > 공고 확인 > 자격 조건 확인 > 신청 또는 상담,신분증;거주 확인 자료;자격 확인 자료,무료,공고별 상이,청년정책 담당 부서,청년지원 안내 FAQ,,2026-07-08,청년;월세;지원금;일자리;공고
KB-010,OFFICE_LOOKUP,주민센터 찾기 안내,가까운 주민센터 어디예요?|아름동 주민센터 전화번호 알려줘,사용자가 선택한 동이나 위치를 기준으로 가까운 주민센터와 담당 부서를 안내합니다.,동 선택 > 기관 확인 > 전화/지도 연결,없음,무료,즉시,읍면동 행정복지센터,기관 안내 데이터,,2026-07-08,주민센터;행정복지센터;전화번호;지도
KB-011,BULKY_WASTE,BULKY_WASTE 추가 FAQ 11,예시 질문 11|관련 문의 11,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-012,LOCAL_TAX,LOCAL_TAX 추가 FAQ 12,예시 질문 12|관련 문의 12,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-013,WELFARE,WELFARE 추가 FAQ 13,예시 질문 13|관련 문의 13,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-014,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 14,예시 질문 14|관련 문의 14,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-015,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 15,예시 질문 15|관련 문의 15,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
KB-016,LIFE_ENV,LIFE_ENV 추가 FAQ 16,예시 질문 16|관련 문의 16,LIFE_ENV 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LIFE_ENV;샘플;민원
